STATION,LATITUDE,LONGITUDE,NAME
93309099999,-39.0166666,174.1833333,"NEW PLYMOUTH AWS, NZ"
87715099999,-38.949,-68.155711,"PRESIDENTE PERON, AR"
94842099999,-38.85,143.5166666,"CAPE OTWAY LIGHTHOUSE, AS"
85743099999,-38.766819,-72.637097,"MAQUEHUE, CI"
93245099999,-38.7333333,176.0666666,"TAUPO AWS, NZ"
87750099999,-38.724967,-62.169317,"COMANDANTE ESPORA, AR"
93292099999,-38.663333,177.978333,"GISBORNE, NZ"
95881099999,-38.6,145.5833333,"WONTHAGGI, AS"
94846099999,-38.45,144.1,"AIREYS INLET, AS"
94892099999,-38.45,145.3,"RHYLL AWS, AS"
94826099999,-38.4333333,141.55,"CAPE NELSON LIGHTHOUSE, AS"
94830099999,-38.4,142.2333333,"PORT FAIRY AWS, AS"
87688099999,-38.386911,-60.329711,"TRES ARROYOS, AR"
94898099999,-38.35,145.1666666,"CERBERUS AWS, AS"
94828099999,-38.3166666,141.4666666,"PORTLAND CASHMORE AIRPORT, AS"
94853099999,-38.3,144.8,"SOUTH CHANNEL IS., AS"
94832099999,-38.283,142.433,"WARRNAMBOOL AIRPORT, AS"
94891099999,-38.2166666,146.4666666,"LATROBE VALLEY AIRPORT, AS"
94857099999,-38.1666666,144.3666666,"GEELONG RACECOURSE, AS"
94871099999,-38.15,145.1166666,"FRANKSTON AWS, AS"
94847099999,-38.1,144.5333333,"POINT WILSON, AS"
94907099999,-38.098889,147.149444,"EAST SALE, AS"
94840099999,-38.0666666,142.7666666,"MORTLAKE RACECOURSE, AS"
94854099999,-38.0333333,144.4666666,"AVALON AIRPORT, AS"
94870099999,-37.975833,145.102222,"MELBOURNE MOORABBIN, AS"
87692099999,-37.934167,-57.573333,"MAR DEL PLATA, AR"
94863099999,-37.9,144.1166666,"SHEOAKS AWS, AS"
94912099999,-37.8833333,147.5666666,"BAIRNSDALE AIRPORT, AS"
94865099999,-37.8666666,144.75,"LAVERTON RAAF, AS"
95867099999,-37.8666666,145.25,"SCORESBY RESEARCH INSTITUTE, AS"
94872099999,-37.8666666,145.3333333,"FERNY CREEK, AS"
95904099999,-37.8666666,148.0,"LAKES ENTRANCE, AS"
94868099999,-37.8166666,144.9666666,"MELBOURNE REGIONAL OFFICE, AS"
61996099999,-37.8,77.5333333,"MARTIN DE VIVIES ILE AMSTERDAM, FS"
94932099999,-37.8,149.2666666,"POINT HICKS LIGHTHOUSE, AS"
95913099999,-37.75,147.1333333,"MOUNT MOORNAPA, AS"
94821099999,-37.7333333,140.7833333,"MOUNT GAMBIER AERO, AS"
94864099999,-37.728056,144.901944,"MELBOURNE ESSENDON, AS"
94930099999,-37.7,148.0833333,"MOUNT NOWA NOWA, AS"
94866099999,-37.673333,144.843333,"MELBOURNE INTERNATIONAL, AS"
93186099999,-37.671944,176.19611,"TAURANGA, NZ"
94829099999,-37.65,142.0666666,"HAMILTON AIRPORT, AS"
94935099999,-37.6,149.7333333,"MALLACOOTA, AS"
94933099999,-37.5666666,149.9,"GABO ISLAND LIGHTHOUSE, AS"
93196099999,-37.55,178.3,"HICKS BAY AWS, NZ"
94852099999,-37.5166666,143.7833333,"BALLARAT AERODROME, AS"
94860099999,-37.3833333,144.9666666,"KILMORE GAP, AS"
94914099999,-37.3333333,149.0166666,"COMBIENBAR, AS"
94817099999,-37.3,140.8166666,"COONAWARRA, AS"
94834099999,-37.2833333,142.9833333,"ARARAT PRISON, AS"
94934099999,-37.25,150.05,"GREEN CAPE AWS, AS"
87645099999,-37.237392,-59.227922,"TANDIL, AR"
94835099999,-37.2333333,143.2,"BEN NEVIS, AS"
94881099999,-37.2166666,145.8333333,"EILDON FIRE TOWER, AS"
94913099999,-37.2166666,148.2666666,"GELANTIPY, AS"
94894099999,-37.15,146.4333333,"MOUNT BULLER AWS, AS"
94836099999,-37.0666666,142.7333333,"STAWELL AERODROME, AS"
94859099999,-37.0166666,144.5333333,"REDESDALE, AS"
93119099999,-37.008056,174.791667,"AUCKLAND INTERNATIONAL, NZ"
94929099999,-37.0,149.2333333,"BOMBALA AWS, AS"
93110099999,-37.0,174.8,"AUCKLAND AERO AWS, NZ"
94820099999,-36.9833333,140.7333333,"NARACOORTE AERODROME, AS"
94813099999,-36.9666666,139.7166666,"THE LIMESTONE, AS"
94906099999,-36.9666666,147.1333333,"MOUNT HOTHAM, AS"
94819099999,-36.95,140.733,"NARACOORTE, AS"
94874099999,-36.8833333,145.1833333,"MANGALORE AIRPORT, AS"
94903099999,-36.8666666,147.2666666,"FALLS CREEK AWS, AS"
87641099999,-36.8333333,-59.8833333,"AZUL AERO, AR"
85682099999,-36.77265,-73.063106,"CARRIEL SUR INTERNATIONAL, CI"
94855099999,-36.7333333,144.3166666,"BENDIGO AIRPORT AWS, AS"
95835099999,-36.6666666,142.3,"LONGERENONG, AS"
95931099999,-36.6666666,149.8166666,"BEGA AWS, AS"
95834099999,-36.65,142.0666666,"HORSHAM POLKEMMET RD, AS"
87623099999,-36.588322,-64.275694,"SANTA ROSA, AR"
85672099999,-36.582497,-72.031367,"GENERAL BERNARDO O HIGGINS, CI"
94884099999,-36.55,145.9666666,"BENALLA SHADFORTH STREET, AS"
95909099999,-36.5,148.2833333,"THREDBO AWS, AS"
94875099999,-36.4333333,145.4,"SHEPPARTON AIRPORT, AS"
94889099999,-36.4166666,146.3,"WANGARATTA AERO, AS"
87648099999,-36.35,-57.7333333,"DOLORES AIRPORT, AR"
94921099999,-36.3,148.9666666,"COOMA AIRPORT AWS, AS"
94939099999,-36.25,150.2166666,"MONTAGUE ISLAND LIGHHOUSE, AS"
94919099999,-36.2333333,148.1333333,"KHANCOBAN, AS"
94878099999,-36.2166666,147.5333333,"HUNTERS HILL, AS"
87640099999,-36.2,-61.0666666,"BOLIVAR AERO, AR"
94899099999,-36.2,147.8833333,"CORRYONG PARISH LANE, AS"
94816099999,-36.1,140.35,"KEITH, AS"
95837099999,-36.1,146.5,"RUTHERGLEN RESEARCH, AS"
95896099999,-36.0666666,146.95,"ALBURY AEROPORT, AS"
95916099999,-35.9333333,148.3833333,"CABRAMURRA SMHEA, AS"
94937099999,-35.9166666,150.15,"MORUYA HEADS PILOT STATION, AS"
93069099999,-35.9,175.1,"MOKOHINAU AWS, NZ"
94822099999,-35.85,138.1333333,"CAPE WILLOUGHBY, AS"
94803099999,-35.783,137.033,"ALLENDALE, AS"
94805099999,-35.75,136.5833333,"CAPE BORDA, AS"
95807099999,-35.7166666,137.5166666,"KINGSTONE AERO, AS"
95814099999,-35.7,139.3333333,"MENINGIE, AS"
94876099999,-35.667,145.617,"FRANKSTON BALLAM PARK, AS"
94811099999,-35.5666666,138.2833333,"SECOND VALLEY FOREST, AS"
94815099999,-35.55,138.617,"VICTOR HARBOUR P.O., AS"
94869099999,-35.55,144.933,"DENILIQUIN POST OFF, AS"
94677099999,-35.5166666,138.8166666,"HINDMARSH ISLAND AWS, AS"
87506099999,-35.493597,-69.574267,"MALARGUE, AR"
94927099999,-35.4333333,149.7833333,"BRAIDWOOD RACECOURSE AWS, AS"
94925099999,-35.4166666,149.1,"TUGGERANONG ISABELLA PLAINS, AS"
94843099999,-35.3833333,143.5333333,"SWAN HILL AERODROME, AS"
94938099999,-35.35,150.4833333,"ULLADULLA AWS, AS"
94804099999,-35.3333333,136.1166666,"NEPTUNE ISLAND, AS"
94688099999,-35.3333333,140.5166666,"LAMEROO COMPARISON, AS"
94926099999,-35.306944,149.195,"CANBERRA, AS"
95806099999,-35.2833333,136.9333333,"STENHOUSE BAY, AS"
94814099999,-35.2833333,138.9,"STRATHALBYN RACECOURSE, AS"
94910099999,-35.165278,147.466389,"WAGGA WAGGA, AS"
94809099999,-35.1166666,137.7333333,"EDITHBURGH AWS, AS"
95812099999,-35.1166666,139.2666666,"MURRAY BRIDGE, AS"
93023099999,-35.1166666,174.0166666,"PURERUA, NZ"
94806099999,-35.0666666,138.85,"MOUNT BARKER, AS"
94663099999,-34.9833333,137.4,"WAROOKA, AS"
87593099999,-34.972222,-57.894694,"LA PLATA, AR"
85629099999,-34.9666667,-71.2166667,"CURICO GEN FREIRE, CI"
95678099999,-34.9666666,138.7,"MOUNT LOFTY, AS"
94750099999,-34.948889,150.536944,"NOWRA, AS"
94672099999,-34.945,138.530556,"ADELAIDE INTERNATIONAL, AS"
94802099999,-34.9414,117.8022,"ALBANY AIRPORT, AS"
94675099999,-34.9166666,138.6166666,"KENT TOWN, AS"
86595599999,-34.913561,-54.920556,"EL JAGUEL INTERNATIONAL, UY"
86582399999,-34.855139,-55.094278,"CAPITAN CORBETA C A CURBELO INTERNATIONAL, UY"
86585099999,-34.85,-56.2,"PRADO, UY"
86580099999,-34.838417,-56.030806,"CARRASCO INTERNATIONAL, UY"
68920099999,-34.8333333,20.0166666,"CAPE AGULHAS, SF"
87576099999,-34.822222,-58.535833,"MINISTRO PISTARINI, AR"
95716099999,-34.8166666,149.7333333,"GOULBURN AIRPORT AWS, AS"
68921099999,-34.8,20.0666666,"STRUISBAAI, SF"
95677099999,-34.793333,138.633056,"ADELAIDE PARAFIELD, AS"
86575099999,-34.789208,-56.264703,"ANGEL S ADAMI, UY"
94678099999,-34.7333333,138.9333333,"MOUNT CRAWFORD AWS, AS"
95676099999,-34.7025,138.620833,"EDINBURGH, AS"
94714099999,-34.6333333,148.0333333,"COOTAMUNDRA AIRPORT, AS"
94674099999,-34.605278,135.880278,"PORT LINCOLN, AS"
